Position Sensor Motor1 Motor2 Inter1 Inter2 Inter3
# Phase 1
0.0282306 0 0.00656838 0.00594844 7.45709e-07 0.259582 0.999995
0.0282457 0 0.00650995 0.00600561 7.43442e-07 0.259254 0.999995
0.0282574 0 0.00645206 0.00606324 7.41184e-07 0.258925 0.999995
0.0282656 0 0.00639473 0.00612134 7.38935e-07 0.258597 0.999995
0.0282703 0 0.00633794 0.00617991 7.36694e-07 0.258269 0.999995
0.0282716 0 0.00628168 0.00623895 7.34461e-07 0.257942 0.999995
0.0282694 0 0.00622595 0.00629846 7.32236e-07 0.257614 0.999995
0.0282638 0 0.00617075 0.00635845 7.30019e-07 0.257287 0.999995
0.0282547 0 0.00611608 0.00641892 7.27811e-07 0.25696 0.999995
0.0282421 0 0.00606191 0.00647987 7.25611e-07 0.256633 0.999995
0.0282262 0 0.00600826 0.00654131 7.23419e-07 0.256306 0.999995
0.0282067 0 0.00595512 0.00660324 7.21235e-07 0.255979 0.999995
0.0281838 0 0.00590247 0.00666566 7.19059e-07 0.255653 0.999995
0.0281575 0 0.00585032 0.00672858 7.16891e-07 0.255327 0.999995
0.0281277 0 0.00579866 0.00679199 7.14732e-07 0.255 0.999995
0.0280944 0 0.00574749 0.00685591 7.1258e-07 0.254675 0.999995
0.0280577 0 0.0056968 0.00692033 7.10436e-07 0.254349 0.999995
0.0280176 0 0.00564659 0.00698525 7.083e-07 0.254023 0.999995
0.0279739 0 0.00559684 0.00705069 7.06172e-07 0.253698 0.999995
0.0279269 0 0.00554757 0.00711664 7.04052e-07 0.253373 0.999995
0.0278763 0 0.00549876 0.0071831 7.01939e-07 0.253048 0.999995
0.0278223 0 0.0054504 0.00725008 6.99835e-07 0.252723 0.999995
0.0277649 0 0.0054025 0.00731759 6.97738e-07 0.252399 0.999995
0.027704 0 0.00535505 0.00738562 6.95649e-07 0.252074 0.999995
0.0276396 0 0.00530804 0.00745418 6.93567e-07 0.25175 0.999995
0.0275717 0 0.00526148 0.00752326 6.91493e-07 0.251426 0.999995
0.0275004 0 0.00521534 0.00759289 6.89427e-07 0.251102 0.999995
0.0274256 0 0.00516965 0.00766305 6.87368e-07 0.250779 0.999995
0.0273473 0 0.00512437 0.00773375 6.85317e-07 0.250455 0.999995
0.0272656 0 0.00507953 0.00780499 6.83274e-07 0.250132 0.999995
0.0271803 0 0.0050351 0.00787678 6.81238e-07 0.249809 0.999995
0.0270916 0 0.00499108 0.00794912 6.79209e-07 0.249486 0.999995
0.0269993 0 0.00494748 0.00802201 6.77188e-07 0.249163 0.999995
0.0269036 0 0.00490428 0.00809546 6.75174e-07 0.248841 0.999995
0.0268044 0 0.00486149 0.00816947 6.73168e-07 0.248519 0.999995
0.0267016 0 0.0048191 0.00824404 6.71169e-07 0.248197 0.999995
0.0265954 0 0.0047771 0.00831917 6.69177e-07 0.247875 0.999995
0.0264856 0 0.00473549 0.00839488 6.67193e-07 0.247553 0.999995
0.0263723 0 0.00469427 0.00847115 6.65216e-07 0.247232 0.999995
0.0262554 0 0.00465343 0.008548 6.63246e-07 0.246911 0.999995
0.0261351 0 0.00461298 0.00862542 6.61283e-07 0.24659 0.999995
0.0260111 0 0.0045729 0.00870343 6.59328e-07 0.246269 0.999995
0.0258837 0 0.00453319 0.00878202 6.57379e-07 0.245948 0.999995
0.0257526 0 0.00449385 0.0088612 6.55438e-07 0.245628 0.999995
0.0256181 0 0.00445487 0.00894097 6.53504e-07 0.245308 0.999995
0.0254799 0 0.00441626 0.00902134 6.51577e-07 0.244988 0.999995
0.0253382 0 0.00437801 0.0091023 6.49657e-07 0.244668 0.999995
0.0251929 0 0.00434011 0.00918386 6.47744e-07 0.244348 0.999995
0.025044 0 0.00430256 0.00926602 6.45838e-07 0.244029 0.999995
0.0248915 0 0.00426536 0.00934879 6.43939e-07 0.24371 0.999995
0.0247354 0 0.0042285 0.00943217 6.42047e-07 0.243391 0.999995
0.0245756 0 0.00419199 0.00951617 6.40161e-07 0.243072 0.999995
0.0244123 0 0.00415581 0.00960078 6.38283e-07 0.242754 0.999995
0.0242453 0 0.00411997 0.00968601 6.36411e-07 0.242436 0.999995
